Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
RAY,2.9994425025527246e-5,Skates and rays,Demersal,Demersal,6.695040122834017,6.6982861955263875,131.30939184549075,879121.6469104945,879547.886741616
RAY,4.3256766768560436e-5,Skates and rays,Demersal,Demersal,6.695277284466266,6.6984921252767124,131.30939184549075,879152.7884601941,879574.927251894
RAY,6.238318853177415e-5,Skates and rays,Demersal,Demersal,6.695609201779458,6.698819087253035,131.30939184549075,879196.3723207325,879617.8604301616
RAY,8.996655326119738e-5,Skates and rays,Demersal,Demersal,6.696106005900539,6.699286082161522,131.30939184549075,879261.6073677379,879679.1812475899
RAY,1.2974618476863025e-4,Skates and rays,Demersal,Demersal,6.69679858495191,6.699945605972735,131.30939184549075,879352.5495017784,879765.7829181479
RAY,1.8711478712696313e-4,Skates and rays,Demersal,Demersal,6.697766078817163,6.700872225422054,131.30939184549075,879479.590532839,879887.4567545102
RAY,2.698495036598089e-4,Skates and rays,Demersal,Demersal,6.699140012183577,6.701395128278285,131.30939184549075,879660.000887619,879956.118810556
RAY,3.891662211390886e-4,Skates and rays,Demersal,Demersal,6.701047515298014,6.703243908122878,131.30939184549075,879910.4739615191,880198.8809676057
RAY,5.612400453647188e-4,Skates and rays,Demersal,Demersal,6.70363433223925,6.705763093994617,131.30939184549075,880250.1473208885,880529.6737323696
RAY,8.09398070569988e-4,Skates and rays,Demersal,Demersal,6.707070895399492,6.709107523506382,131.30939184549075,880701.4003394984,880968.8287376296
RAY,0.001167281704242415,Skates and rays,Demersal,Demersal,6.711501922987715,6.713417014603604,131.30939184549075,881283.2358773586,881534.7053927694
RAY,0.0016834072462015557,Skates and rays,Demersal,Demersal,6.716920386317621,6.718696448437861,131.30939184549075,881994.7310019456,882227.9446388341
RAY,0.00242774297435179,Skates and rays,Demersal,Demersal,6.723118601998126,6.724757957594065,131.30939184549075,882808.6149334799,883023.8777198012
RAY,0.0035011943561568766,Skates and rays,Demersal,Demersal,6.729617567953727,6.731108929719814,131.30939184549075,883661.9902007345,883857.8200072609
RAY,0.005049283243362186,Skates and rays,Demersal,Demersal,6.735588595957285,6.736955093489616,131.30939184549075,884446.042256574,884625.4762165028
RAY,0.00728187546254453,Skates and rays,Demersal,Demersal,6.74023737319641,6.741461972362254,131.30939184549075,885056.4703686688,885217.2717403902
RAY,0.01050163116155465,Skates and rays,Demersal,Demersal,6.7430859321133285,6.7441396194210075,131.30939184549075,885430.5129076854,885568.871947252
RAY,0.015145034767567803,Skates and rays,Demersal,Demersal,6.744368752453046,6.7452592463635375,131.30939184549075,885598.9592663407,885715.8894801694
RAY,0.02184156676065183,Skates and rays,Demersal,Demersal,6.744768399512323,6.745454702925325,131.30939184549075,885651.4366786472,885741.5547624299
RAY,0.03149903885209916,Skates and rays,Demersal,Demersal,6.744842392010485,6.7452992601232715,131.30939184549075,885661.1525885819,885721.1436626256
RAY,0.0454266609844816,Skates and rays,Demersal,Demersal,6.744833086042529,6.745090248939806,131.30939184549075,885659.9306275891,885693.6985312358
RAY,0.06551252366424194,Skates and rays,Demersal,Demersal,6.744839888865182,6.744898257187452,131.30939184549075,885660.8239020945,885668.4882109948
RAY,0.09447955592254584,Skates and rays,Demersal,Demersal,6.744861731825152,6.744739795428582,131.30939184549075,885663.6920878843,885647.6806938067
RAY,0.13625465770590775,Skates and rays,Demersal,Demersal,6.744913127138538,6.7446551563490305,131.30939184549075,885670.4407752288,885636.5667877445
RAY,0.19650104792801815,Skates and rays,Demersal,Demersal,6.744970524275033,6.74461964171248,131.30939184549075,885677.9775583155,885631.9033824175
RAY,0.28338599565639055,Skates and rays,Demersal,Demersal,6.745030964693095,6.744666716768854,131.30939184549075,885685.9139528541,885638.084779441
RAY,0.4086880114938722,Skates and rays,Demersal,Demersal,6.745056260515917,6.744748856784731,131.30939184549075,885689.2355319652,885648.870534972
RAY,0.5893935949514477,Skates and rays,Demersal,Demersal,6.745015015377017,6.744785829413804,131.30939184549075,885683.8196578596,885653.7253884105
RAY,0.85,Skates and rays,Demersal,Demersal,6.744917014700321,6.744765006261672,131.30939184549075,885670.9512486021,885650.9911129678
RDR,9.999999999999997e-6,Red drum,Demersal,Demersal,617.5017681483126,615.5841381996692,5.453968759032718,3367835.3521283623,3357376.658297075
